manifest,result_file,profile,server_profile,repetition,benchmark_config_sha256,server_config_sha256,input_len,output_len,slo_ttft_ms,slo_tpot_ms,max_concurrency,completed,failed,error_rate,request_throughput,request_goodput,output_throughput,total_token_throughput,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,p95_e2el_ms,peak_memory_used_mib,mean_gpu_utilization_percent,max_temperature_c,mean_power_draw_w,mean_sm_clock_mhz,valid
artifacts/env/20260802T050323Z-e02_bt2048_medium_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_medium_c8/e02_bt2048_medium_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-130739.json,e02_bt2048_medium_c8,e02_batch_tokens_2048_bf16,3,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,512,256,1000.0,50.0,8,100,0,0.0,2.2762248860024648,2.2762248860024648,582.713570816631,1748.1407124498928,245.1386860011553,381.341911299387,390.719760230495,11.996689631375963,13.020956180977615,13.029370978043481,3403.0474960502033,10806.0,84.7457627118644,63.0,155.0683050847458,2831.8813559322034,True
artifacts/env/20260802T050957Z-e02_bt2048_short_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_short_c4/e02_bt2048_short_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-131103.json,e02_bt2048_short_c4,e02_batch_tokens_2048_bf16,1,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,128,128,1000.0,50.0,4,100,0,0.0,2.6326230775493684,2.6326230775493684,336.97575392631916,673.9515078526383,59.263324499625014,69.74054349993821,79.53080499723,11.484493555123098,11.677591616536642,11.680882026534896,1528.3950013481444,10804.0,83.4,60.0,142.00799999999998,2830.28,True
artifacts/env/20260802T050957Z-e02_bt2048_short_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_short_c4/e02_bt2048_short_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-131224.json,e02_bt2048_short_c4,e02_batch_tokens_2048_bf16,2,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,128,128,1000.0,50.0,4,100,0,0.0,2.634363856106795,2.634363856106795,337.19857358166973,674.3971471633395,58.98602299748745,71.53500199856353,82.09156973043719,11.473061342530139,11.669845351951968,11.675092741960418,1525.8280465486678,10804.0,84.0,57.0,140.1748,2839.88,True
artifacts/env/20260802T050957Z-e02_bt2048_short_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_short_c4/e02_bt2048_short_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-131345.json,e02_bt2048_short_c4,e02_batch_tokens_2048_bf16,3,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,128,128,1000.0,50.0,4,100,0,0.0,2.635137330165312,2.635137330165312,337.2975782611599,674.5951565223198,58.97196099977009,73.36827045091923,80.08611881017714,11.471767425185915,11.668417233843462,11.672616414800832,1529.9555575011254,10804.0,82.92,56.0,140.2022,2834.48,True
artifacts/env/20260802T051415Z-e02_bt2048_short_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_short_c8/e02_bt2048_short_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-131501.json,e02_bt2048_short_c8,e02_batch_tokens_2048_bf16,1,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,128,128,1000.0,50.0,8,100,0,0.0,4.889962561234534,4.889962561234534,625.9152078380204,1251.8304156760407,95.23665800043091,111.31660479986749,121.21432613042998,11.667830681111036,12.07182451100924,12.077562406533774,1582.2070676484145,10804.0,75.87096774193549,53.0,135.60967741935482,2806.0967741935483,True
artifacts/env/20260802T051415Z-e02_bt2048_short_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_short_c8/e02_bt2048_short_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-131603.json,e02_bt2048_short_c8,e02_batch_tokens_2048_bf16,2,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,128,128,1000.0,50.0,8,100,0,0.0,4.918371884679876,4.918371884679876,629.5516012390241,1259.1032024780482,102.77733050133975,114.68130130288046,114.91266950026329,11.516750307101022,12.028114437382861,12.04292214370529,1577.8425591019186,10804.0,76.09677419354838,57.0,133.71,2808.032258064516,True
artifacts/env/20260802T051415Z-e02_bt2048_short_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_short_c8/e02_bt2048_short_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-131705.json,e02_bt2048_short_c8,e02_batch_tokens_2048_bf16,3,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,128,128,1000.0,50.0,8,100,0,0.0,4.909258480309519,4.909258480309519,628.3850854796184,1256.7701709592368,103.31572650102316,120.87679969827148,121.76190259942814,11.515139232268286,12.033870453926758,12.055112105108421,1583.6212150501524,10804.0,75.70967741935483,59.0,133.84548387096774,2801.7419354838707,True
artifacts/env/20260802T051735Z-e02_bt2048_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_medium_c4/e02_bt2048_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-131926.json,e02_bt2048_medium_c4,e02_batch_tokens_2048_bf16,1,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,512,256,1000.0,50.0,4,100,0,0.0,1.275031433860291,1.275031433860291,326.4080470682345,979.2241412047035,195.39887599967187,197.35825049847335,204.5697850108263,11.536399633334048,12.056520446269275,12.061028158663962,3139.770886549559,10804.0,90.12631578947368,63.0,154.38284210526317,2859.9894736842107,True
artifacts/env/20260802T051735Z-e02_bt2048_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_medium_c4/e02_bt2048_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-132134.json,e02_bt2048_medium_c4,e02_batch_tokens_2048_bf16,2,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,512,256,1000.0,50.0,4,100,0,0.0,1.2706411364359116,1.2706411364359116,325.28413092759337,975.8523927827802,158.47265900083585,202.79222655044578,203.80420325102025,11.708063203917062,12.06417359059189,12.119114470544732,3166.703110750859,10804.0,90.21052631578948,61.0,154.4284210526316,2852.1684210526314,True
artifacts/env/20260802T051735Z-e02_bt2048_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_medium_c4/e02_bt2048_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-132342.json,e02_bt2048_medium_c4,e02_batch_tokens_2048_bf16,3,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,512,256,1000.0,50.0,4,100,0,0.0,1.2722290734384192,1.2722290734384192,325.6906428002353,977.0719284007059,160.00180100127182,200.78388354977506,201.33346736060048,11.706160215680047,12.069571841564217,12.094056282823479,3146.9832225482605,10807.0,90.74736842105263,63.0,154.54757894736844,2858.2526315789473,True
