input_len,output_len,max_concurrency,budget,runs,request_goodput,output_throughput,p95_ttft_ms,p95_tpot_ms,peak_memory_used_mib,mean_gpu_utilization_percent,max_temperature_c,mean_power_draw_w,mean_sm_clock_mhz,evidence_status,slo_status,output_throughput_delta_percent,p95_ttft_delta_percent,p95_tpot_delta_percent,request_goodput_delta_percent,peak_vram_delta_mib
512,256,4,8192,3,1.2730841258717398,325.9095362231654,200.79181660112226,12.053263235683714,11127.0,90.87368421052632,64.0,154.54631578947368,2857.1473684210528,VALID,PASS,0.0,0.0,0.0,0.0,0.0
512,256,4,16384,3,1.2516564969523951,320.42406321981315,200.99682454999765,12.287715211372857,10561.0,90.37113402061856,68.0,151.55546391752577,2851.4329896907216,VALID,PASS,-1.683127492040025,0.10209975304055546,1.9451327918820194,-1.683127492040025,-566.0
512,256,8,2048,3,2.2762248860024648,582.713570816631,381.341911299387,13.020956180977615,10806.0,85.98305084745763,63.0,155.0683050847458,2832.0169491525426,VALID,PASS,-0.14220823551153755,-2.3255072008214994,0.03807466565039275,-0.14220823551153755,-164.0
512,256,8,4096,3,2.2428333398796543,574.1653350091915,391.48754174999283,13.255543037647277,11231.0,85.1,68.0,151.41716666666667,2830.5666666666666,VALID,PASS,-1.6070925182248539,0.2731300824873046,1.8403706842318703,-1.6070925182248539,261.0
512,256,8,8192,3,2.2794664750557185,583.543417614264,390.42118404795474,13.016000382350981,10970.0,86.42372881355932,64.0,154.70491525423728,2838.3728813559323,VALID,PASS,0.0,0.0,0.0,0.0,0.0
512,256,8,16384,3,2.2399710791707155,573.4325962677032,393.67619399996556,13.26750271313717,10557.0,86.4,69.0,151.93783333333334,2833.5666666666666,VALID,PASS,-1.732659651598414,0.8337175555543155,1.9322550967900414,-1.732659651598414,-413.0
2048,256,4,2048,3,1.0337252705142999,264.63366925166076,626.170229452327,14.249463140403547,10803.0,91.0,65.0,167.88356521739132,2850.095652173913,VALID,PASS,-0.181299957220237,-21.229224636443934,-0.23980948238041233,-0.181299957220237,-758.0
2048,256,4,4096,3,1.0179487509071312,260.5948802322256,614.3648043998382,14.523476476078896,11409.0,91.62393162393163,70.0,166.03435897435898,2846.4957264957266,VALID,PASS,-1.7047140821390447,-22.714319968577875,1.6785520939117247,-1.7047140821390447,-152.0
2048,256,4,8192,3,1.0356028179802697,265.11432140294903,794.9270862985941,14.283716847841038,11561.0,91.72173913043478,65.0,167.86704347826085,2851.1391304347826,VALID,PASS,0.0,0.0,0.0,0.0,0.0
2048,256,4,16384,3,1.0181210873359663,260.63899835800737,805.0205541998253,14.543635786666412,10892.0,91.63247863247864,70.0,165.68034188034187,2846.6153846153848,VALID,PASS,-1.6880729118136122,1.2697350581207678,1.8196870015990279,-1.6880729118136122,-669.0
2048,256,8,2048,3,1.553579113495933,418.75819099752886,827.5318613970735,17.75464841077979,10804.0,88.06493506493507,64.0,175.98,2833.779220779221,VALID,FAIL,0.13927342578194643,-47.742221352966666,-0.40038465618408353,164.1873140019834,-878.0
2048,256,8,4096,3,1.3525592634534525,412.2085374334331,1215.4020936498678,18.11457157784291,11409.0,88.58227848101266,70.0,173.51291139240507,2829.8101265822784,VALID,FAIL,-1.4269706816748156,-23.24861852464708,1.618703988288837,130.00373507609214,-273.0
2048,256,8,8192,3,0.5880596952071171,418.1757832583944,1583.5572862491972,17.8260210639279,11682.0,88.53246753246754,64.0,175.34467532467534,2834.753246753247,VALID,FAIL,0.0,0.0,0.0,0.0,0.0
2048,256,8,16384,3,0.5461632017623067,411.22876367985447,1609.3942705496147,18.154630334705622,11799.0,88.69620253164557,70.0,173.09227848101267,2830.0886075949365,VALID,FAIL,-1.66126778657752,1.6315787578240883,1.8434246745208,-7.124530687323209,117.0
