manifest,result_file,profile,server_profile,repetition,benchmark_config_sha256,server_config_sha256,input_len,output_len,slo_ttft_ms,slo_tpot_ms,max_concurrency,completed,failed,error_rate,request_throughput,request_goodput,output_throughput,total_token_throughput,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,p95_e2el_ms,peak_memory_used_mib,mean_gpu_utilization_percent,max_temperature_c,mean_power_draw_w,valid
artifacts/env/20260802T012300Z-e01_baseline_medium_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c8/e01_baseline_medium_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-092715.json,e01_baseline_medium_c8,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,8,100,0,0.0,2.2785316235526483,2.2785316235526483,583.304095629478,1749.912286888434,384.93317699976615,389.07145080011105,397.1335373090915,11.80337739019973,13.024275047254038,13.031200873375258,3399.898784999823,11647.0,85.83050847457628,64.0,155.03728813559323,True
artifacts/env/20260802T012745Z-e01_baseline_medium_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c16/e01_baseline_medium_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-092859.json,e01_baseline_medium_c16,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,16,100,0,0.0,2.2851079781450636,0.1828086382516051,584.9876424051363,1754.9629272154089,3761.766889499995,3772.679457549202,3773.5583339205004,11.790895090191897,13.028359750001341,13.034081933253594,6778.849366700797,11647.0,86.46551724137932,64.0,155.11224137931035,True
artifacts/env/20260802T012745Z-e01_baseline_medium_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c16/e01_baseline_medium_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-093029.json,e01_baseline_medium_c16,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,16,100,0,0.0,2.285063930822353,0.18280511446578826,584.9763662905224,1754.9290988715672,3761.2139319999187,3776.766793599927,3778.5559291101345,11.79071509019445,13.027885805879087,13.032199115490549,6788.024943599612,11647.0,86.63793103448276,64.0,154.37413793103448,True
artifacts/env/20260802T012745Z-e01_baseline_medium_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c16/e01_baseline_medium_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-093159.json,e01_baseline_medium_c16,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,16,100,0,0.0,2.2851262661071887,0.1828101012885751,584.9923241234403,1754.976972370321,3762.1651935005502,3767.207900050562,3768.1538889108197,11.79351896470525,13.031149312938913,13.035216118079308,6775.217330551095,11647.0,86.56896551724138,64.0,153.9987931034483,True
artifacts/env/20260802T013229Z-e01_baseline_long_c1.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c1/e01_baseline_long_c1-infqps-concurrency1-Qwen2.5-3B-Instruct-20260802-093825.json,e01_baseline_long_c1,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,1,100,0,0.0,0.3324351270707186,0.3324351270707186,85.10339253010396,765.9305327709355,204.58788750056556,207.62242894961673,227.16569258944224,10.985830037255559,11.031181178425994,11.124389981409717,3020.2189585495944,11647.0,95.43333333333334,66.0,187.00112121212123,True
artifacts/env/20260802T013229Z-e01_baseline_long_c1.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c1/e01_baseline_long_c1-infqps-concurrency1-Qwen2.5-3B-Instruct-20260802-094436.json,e01_baseline_long_c1,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,1,100,0,0.0,0.3326175649074387,0.3326175649074387,85.15009661630431,766.3508695467387,204.48676699925272,205.94608670016896,206.85871748046338,10.986816999998243,10.992670497059816,11.014653202155067,3008.3431870999448,11647.0,95.52727272727273,65.0,186.92824242424243,True
artifacts/env/20260802T013229Z-e01_baseline_long_c1.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c1/e01_baseline_long_c1-infqps-concurrency1-Qwen2.5-3B-Instruct-20260802-095047.json,e01_baseline_long_c1,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,1,100,0,0.0,0.3326042034651687,0.3326042034651687,85.1466760870832,766.3200847837487,204.5967970007041,207.57243355019455,209.24041949112507,10.985347766669006,10.995342071180893,11.013905499488935,3009.740493600475,11647.0,95.44545454545455,65.0,187.09833333333333,True
artifacts/env/20260802T015118Z-e01_baseline_long_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c4/e01_baseline_long_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-095330.json,e01_baseline_long_c4,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,4,100,0,0.0,1.0337147777497988,1.0337147777497988,264.6309831039485,2381.678847935537,782.0921435004493,798.1094032499641,847.2782658103824,12.136284633333178,14.29682795862676,14.304766274075517,3892.912305099071,11651.0,91.52631578947368,65.0,167.73622807017543,True
artifacts/env/20260802T015118Z-e01_baseline_long_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c4/e01_baseline_long_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-095558.json,e01_baseline_long_c4,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,4,100,0,0.0,1.034647233233997,1.034647233233997,264.86969170790326,2383.8272253711293,602.5295899989942,796.7914464004934,800.0583466006902,12.789993021571862,14.294148977642536,14.295837530152081,3868.610306550636,11647.0,91.79130434782608,64.0,168.17243478260872,True
artifacts/env/20260802T015118Z-e01_baseline_long_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c4/e01_baseline_long_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-095827.json,e01_baseline_long_c4,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,4,100,0,0.0,1.0344844765177217,1.0344844765177217,264.82802598853675,2383.452233896831,603.1475800000408,801.5910419489956,805.536568110656,12.790415658823537,14.30253512588452,14.305235675689676,3873.220056098671,11647.0,91.71304347826087,64.0,167.43182608695653,True
artifacts/env/20260802T015857Z-e01_baseline_long_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c8/e01_baseline_long_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-100031.json,e01_baseline_long_c8,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,8,100,0,0.0,1.633428986262358,0.8657173627190498,418.1578204831637,3763.420384348473,993.9122495006814,1577.8247809999812,1589.017180739902,14.801548819606051,17.83238953431518,17.857798763060405,4797.89630999976,11675.0,88.36363636363636,64.0,175.57545454545453,True
artifacts/env/20260802T015857Z-e01_baseline_long_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c8/e01_baseline_long_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-100221.json,e01_baseline_long_c8,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,8,100,0,0.0,1.6331438578028405,0.7839090517453635,418.0848275975272,3762.7634483777447,1001.1706109999068,1585.5439185511386,1590.7641627495286,14.817422874508411,17.84446422725523,17.860284042159037,4798.693239500699,11675.0,88.57692307692308,64.0,175.51525641025643,True
artifacts/env/20260802T015857Z-e01_baseline_long_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c8/e01_baseline_long_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-100411.json,e01_baseline_long_c8,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,8,100,0,0.0,1.6333771745002397,0.784021043760115,418.14455667206136,3763.301010048552,1000.9031609997692,1580.82858065045,1585.2062033190487,14.813800599999833,17.83813162137698,17.84762558168458,4783.5843034999925,11675.0,88.43589743589743,64.0,175.32384615384615,True
artifacts/env/20260802T020441Z-e01_baseline_long_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c16/e01_baseline_long_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-100614.json,e01_baseline_long_c16,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,16,100,0,0.0,1.6353443266640664,0.06541377306656265,418.648147626001,3767.833328634009,5574.460637999437,5968.511283701173,6174.950988880465,15.570171398037786,17.8589866545079,17.86782913490235,9553.612589449313,11675.0,89.24675324675324,64.0,176.28311688311686,True
artifacts/env/20260802T020441Z-e01_baseline_long_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c16/e01_baseline_long_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-100804.json,e01_baseline_long_c16,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,16,100,0,0.0,1.6352708974424959,0.06541083589769983,418.62934974527894,3767.6641477075104,5574.899597499098,5968.277404650689,6172.455422190852,15.57432224901776,17.860447421571735,17.864685576353036,9551.231238750279,11675.0,87.76923076923077,64.0,175.39128205128205,True
artifacts/env/20260802T020441Z-e01_baseline_long_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_long_c16/e01_baseline_long_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-100954.json,e01_baseline_long_c16,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,2048,256,1000.0,50.0,16,100,0,0.0,1.6357397860574976,0.0654295914422999,418.7493852307194,3768.7444670764744,5573.104640499878,5966.722729650428,6172.62335755968,15.566696249020334,17.854081553726015,17.865465784114136,9548.830501300381,11675.0,88.65384615384616,64.0,175.29179487179488,True
